GEO,LANGUAGE,QOUTE,TIME,VALUE
DE,de,inflation,2019-04-01,14
DE,de,inflation,2019-05-01,14
DE,de,inflation,2019-06-01,13
DE,de,inflation,2019-07-01,12
DE,de,inflation,2019-08-01,11
DE,de,inflation,2019-09-01,14
DE,de,inflation,2019-10-01,14
DE,de,inflation,2019-11-01,15
DE,de,inflation,2019-12-01,14
DE,de,inflation,2020-01-01,15
DE,de,inflation,2020-02-01,14
DE,de,inflation,2020-03-01,35
DE,de,inflation,2020-04-01,30
DE,de,inflation,2020-05-01,22
DE,de,inflation,2020-06-01,17
DE,de,inflation,2020-07-01,15
DE,de,inflation,2020-08-01,16
DE,de,inflation,2020-09-01,16
DE,de,inflation,2020-10-01,17
DE,de,inflation,2020-11-01,18
DE,de,inflation,2020-12-01,21
DE,de,inflation,2021-01-01,25
DE,de,inflation,2021-02-01,30
DE,de,inflation,2021-03-01,30
DE,de,inflation,2021-04-01,21
DE,de,inflation,2021-05-01,34
DE,de,inflation,2021-06-01,31
DE,de,inflation,2021-07-01,28
DE,de,inflation,2021-08-01,25
DE,de,inflation,2021-09-01,34
DE,de,inflation,2021-10-01,55
DE,de,inflation,2021-11-01,49
DE,de,inflation,2021-12-01,52
DE,de,inflation,2022-01-01,64
DE,de,inflation,2022-02-01,60
DE,de,inflation,2022-03-01,79
DE,de,inflation,2022-04-01,83
DE,de,inflation,2022-05-01,78
DE,de,inflation,2022-06-01,98
DE,de,inflation,2022-07-01,84
DE,de,inflation,2022-08-01,76
DE,de,inflation,2022-09-01,100
DE,de,inflation,2022-10-01,85
DE,de,inflation,2022-11-01,75
DE,de,inflation,2022-12-01,56
DE,de,inflation,2023-01-01,63
DE,de,inflation,2023-02-01,57
DE,de,inflation,2023-03-01,58
DE,de,inflation,2023-04-01,44
DE,de,inflation,2023-05-01,47
DE,de,inflation,2023-06-01,47
DE,de,inflation,2023-07-01,40
DE,de,inflation,2023-08-01,39
DE,de,inflation,2023-09-01,43
DE,de,inflation,2023-10-01,43
DE,de,inflation,2023-11-01,46
DE,de,inflation,2023-12-01,42
DE,de,inflation,2024-01-01,48
DE,de,inflation,2024-02-01,42
DE,de,inflation,2024-03-01,40
DE,de,inflation,2024-04-01,41
DE,de,inflation,2024-05-01,35
DE,de,inflation,2024-06-01,32
DE,de,inflation,2024-07-01,31
DE,de,inflation,2024-08-01,30
DE,de,inflation,2024-09-01,33
DE,de,inflation,2024-10-01,34
DE,de,inflation,2024-11-01,42
DE,de,inflation,2024-12-01,34
DE,de,inflation,2025-01-01,40
DE,de,inflation,2025-02-01,42
DE,de,inflation,2025-03-01,38
DE,de,inflation,2025-04-01,28
DE,de,inflation,2025-05-01,23
DE,de,inflation,2025-06-01,23
DE,de,inflation,2025-07-01,22
DE,de,inflation,2025-08-01,22
DE,de,inflation,2025-09-01,24
DE,de,inflation,2025-10-01,28
DE,de,inflation,2025-11-01,67
DE,de,inflation,2025-12-01,66
DE,de,inflation,2026-01-01,59
DE,de,inflation,2026-02-01,53
EE,et,inflation,2014-01-01,0
EE,et,inflation,2014-02-01,0
EE,et,inflation,2014-03-01,11
EE,et,inflation,2014-04-01,17
EE,et,inflation,2014-05-01,12
EE,et,inflation,2014-06-01,0
EE,et,inflation,2014-07-01,0
EE,et,inflation,2014-08-01,11
EE,et,inflation,2014-09-01,0
EE,et,inflation,2014-10-01,10
EE,et,inflation,2014-11-01,0
EE,et,inflation,2014-12-01,11
EE,et,inflation,2015-01-01,10
EE,et,inflation,2015-02-01,22
EE,et,inflation,2015-03-01,14
EE,et,inflation,2015-04-01,14
EE,et,inflation,2015-05-01,0
EE,et,inflation,2015-06-01,13
EE,et,inflation,2015-07-01,13
EE,et,inflation,2015-08-01,0
EE,et,inflation,2015-09-01,0
EE,et,inflation,2015-10-01,13
EE,et,inflation,2015-11-01,20
EE,et,inflation,2015-12-01,10
EE,et,inflation,2016-01-01,0
EE,et,inflation,2016-02-01,11
EE,et,inflation,2016-03-01,10
EE,et,inflation,2016-04-01,14
EE,et,inflation,2016-05-01,16
EE,et,inflation,2016-06-01,10
EE,et,inflation,2016-07-01,0
EE,et,inflation,2016-08-01,0
EE,et,inflation,2016-09-01,0
EE,et,inflation,2016-10-01,11
EE,et,inflation,2016-11-01,13
EE,et,inflation,2016-12-01,0
EE,et,inflation,2017-01-01,0
EE,et,inflation,2017-02-01,0
EE,et,inflation,2017-03-01,14
EE,et,inflation,2017-04-01,14
EE,et,inflation,2017-05-01,0
EE,et,inflation,2017-06-01,0
EE,et,inflation,2017-07-01,0
EE,et,inflation,2017-08-01,0
EE,et,inflation,2017-09-01,0
EE,et,inflation,2017-10-01,12
EE,et,inflation,2017-11-01,14
EE,et,inflation,2017-12-01,0
EE,et,inflation,2018-01-01,13
EE,et,inflation,2018-02-01,10
EE,et,inflation,2018-03-01,13
EE,et,inflation,2018-04-01,15
EE,et,inflation,2018-05-01,10
EE,et,inflation,2018-06-01,20
EE,et,inflation,2018-07-01,0
EE,et,inflation,2018-08-01,0
EE,et,inflation,2018-09-01,10
EE,et,inflation,2018-10-01,14
EE,et,inflation,2018-11-01,21
EE,et,inflation,2018-12-01,11
EE,et,inflation,2019-01-01,13
EE,et,inflation,2019-02-01,16
EE,et,inflation,2019-03-01,20
EE,et,inflation,2019-04-01,0
EE,et,inflation,2019-05-01,14
EE,et,inflation,2019-06-01,9
EE,et,inflation,2019-07-01,10
EE,et,inflation,2019-08-01,15
EE,et,inflation,2019-09-01,12
EE,et,inflation,2019-10-01,0
EE,et,inflation,2019-11-01,11
EE,et,inflation,2019-12-01,11
EE,et,inflation,2020-01-01,14
EE,et,inflation,2020-02-01,9
EE,et,inflation,2020-03-01,14
EE,et,inflation,2020-04-01,13
EE,et,inflation,2020-05-01,15
EE,et,inflation,2020-06-01,10
EE,et,inflation,2020-07-01,13
EE,et,inflation,2020-08-01,12
EE,et,inflation,2020-09-01,15
EE,et,inflation,2020-10-01,15
EE,et,inflation,2020-11-01,0
EE,et,inflation,2020-12-01,18
EE,et,inflation,2021-01-01,16
EE,et,inflation,2021-02-01,13
EE,et,inflation,2021-03-01,19
EE,et,inflation,2021-04-01,21
EE,et,inflation,2021-05-01,22
EE,et,inflation,2021-06-01,16
EE,et,inflation,2021-07-01,19
EE,et,inflation,2021-08-01,18
EE,et,inflation,2021-09-01,0
EE,et,inflation,2021-10-01,29
EE,et,inflation,2021-11-01,26
EE,et,inflation,2021-12-01,17
EE,et,inflation,2022-01-01,33
EE,et,inflation,2022-02-01,42
EE,et,inflation,2022-03-01,41
EE,et,inflation,2022-04-01,38
EE,et,inflation,2022-05-01,56
EE,et,inflation,2022-06-01,57
EE,et,inflation,2022-07-01,65
EE,et,inflation,2022-08-01,63
EE,et,inflation,2022-09-01,62
EE,et,inflation,2022-10-01,58
